,date,open,close,low,high,volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
2277,2/5/09,13.25,13.8071,13.2286,13.8886,0,12.740285,14.0668802,11.4136898,0.61844394,0.156686826,123.4874733,13.04439548,21.97084806,13.08416667,13.25028,97.00058884,3.092683437,21.97084806
2278,2/6/09,13.8371,14.3143,13.7286,14.3343,0,12.79207,14.27081139,11.31332861,0.617533659,0.242565085,167.0077627,13.21371608,10.47456607,13.19726667,13.53228,99.36766891,6.698122349,10.47456607
2279,2/9/09,14.1786,14.6443,14.1786,14.7127,0,12.877,14.56200874,11.19199126,0.611574112,0.333409133,182.5153271,13.4044606,16.56783068,13.37071667,13.85114,97.99824407,13.48387747,16.56783068
2280,2/10/09,14.5229,14.0571,13.8761,14.6271,0,12.9475,14.70457992,11.19042008,0.622761675,0.353941545,127.7478029,13.49147919,11.56428571,13.49214167,14.01428,72.85974499,7.717241379,11.56428571
2281,2/11/09,14.0029,13.7929,13.6286,14.0371,0,13.00943,14.79380875,11.22505125,0.608885841,0.344918887,82.45916808,13.53166863,7.877550701,13.576075,14.12314,60.92774309,4.164967451,7.877550701
2282,2/12/09,13.6857,14.1757,13.6429,14.24,0,13.151785,14.82807465,11.47549535,0.608043995,0.364455906,93.34832359,13.61753948,8.673520235,13.67035833,14.19686,74.58228807,6.997720514,8.673520235
2283,2/13/09,14.2357,14.1643,14.0286,14.2771,0,13.261785,14.90024775,11.62332225,0.582362281,0.374699941,98.30506114,13.69044088,5.759768235,13.73464167,14.16686,73.50468644,2.587074766,5.759768235
2284,2/17/09,14.0729,13.4786,13.4643,14.0729,0,13.34786,14.83497497,11.86074503,0.590764976,0.323756095,41.63605755,13.66219543,0.468853657,13.73988333,13.93372,40.37588173,-5.838217726,0.468853657
2285,2/18/09,13.5671,13.2886,13.2143,13.6829,0,13.44629,14.60862222,12.28395778,0.582038906,0.264996602,-1.908306196,13.61238271,2.978077075,13.77190833,13.78002,31.19625085,-9.257526819,2.978077075
2286,2/19/09,13.2643,12.9,12.8786,13.4814,0,13.443435,14.61082901,12.27604099,0.583521841,0.184940628,-51.08350557,13.51739835,-1.149425287,13.75940833,13.60144,12.42149,-8.231427535,-1.149425287
2287,2/20/09,12.7714,13.0157,12.6571,13.1886,0,13.466075,14.58065185,12.35149815,0.579805995,0.129340755,-75.14276342,13.45050523,-1.704502545,13.7406,13.36944,18.01140207,-5.634783113,-1.704502545
2288,2/23/09,13.1214,12.4286,12.3614,13.2286,0,13.457505,14.60085161,12.31415839,0.600334139,0.037471444,-118.4566963,13.3142512,-6.189333213,13.67226667,13.0223,2.85799345,-12.32461184,-6.189333213
2289,2/24/09,12.4471,12.5714,12.1771,12.9686,0,13.44679,14.61877731,12.27480269,0.613988843,-0.023541508,-129.3232407,13.21520438,-8.949743248,13.56929167,12.84086,15.55056003,-11.24587872,-8.949743248
